[Frame 0118] time = 0.020s, FPS ~ 50.1
[Frame 0119] time = 0.020s, FPS ~ 50.1
[Frame 0120] time = 0.020s, FPS ~ 50.0
[Frame 0121] time = 0.020s, FPS ~ 50.0
[Frame 0122] time = 0.020s, FPS ~ 50.0
[Frame 0123] time = 0.020s, FPS ~ 49.8
[Frame 0124] time = 0.020s, FPS ~ 50.2
[Frame 0125] time = 0.030s, FPS ~ 33.3
[Frame 0126] time = 0.020s, FPS ~ 50.0
[Frame 0127] time = 0.020s, FPS ~ 50.0
[Frame 0128] time = 0.020s, FPS ~ 50.0
[Frame 0129] time = 0.020s, FPS ~ 50.0
[Frame 0130] time = 0.020s, FPS ~ 49.8
[Frame 0131] time = 0.030s, FPS ~ 33.4
[Frame 0132] time = 0.030s, FPS ~ 33.2
[Frame 0133] time = 0.020s, FPS ~ 50.2
[Frame 0134] time = 0.020s, FPS ~ 49.8
[Frame 0135] time = 0.030s, FPS ~ 33.4
[Frame 0136] time = 0.020s, FPS ~ 49.8
[Frame 0137] time = 0.020s, FPS ~ 50.2
[Frame 0138] time = 0.020s, FPS ~ 49.8
[Frame 0139] time = 0.020s, FPS ~ 50.2
[Frame 0140] time = 0.020s, FPS ~ 50.0
[Frame 0141] time = 0.020s, FPS ~ 49.8
[Frame 0142] time = 0.030s, FPS ~ 33.4
[Frame 0143] time = 0.020s, FPS ~ 49.8
[Frame 0144] time = 0.020s, FPS ~ 50.2
[Frame 0145] time = 0.020s, FPS ~ 50.0
[Frame 0146] time = 0.020s, FPS ~ 50.0
[Frame 0147] time = 0.020s, FPS ~ 49.8
[Frame 0148] time = 0.020s, FPS ~ 50.0
[Frame 0149] time = 0.020s, FPS ~ 50.1
[Frame 0150] time = 0.020s, FPS ~ 50.0
[Frame 0151] time = 0.020s, FPS ~ 50.0
[Frame 0152] time = 0.020s, FPS ~ 50.0
[Frame 0153] time = 0.020s, FPS ~ 50.0
[Frame 0154] time = 0.020s, FPS ~ 50.0
[Frame 0155] time = 0.020s, FPS ~ 49.9
[Frame 0156] time = 0.020s, FPS ~ 49.9
[Frame 0157] time = 0.020s, FPS ~ 50.2
[Frame 0158] time = 0.020s, FPS ~ 50.0
[Frame 0159] time = 0.020s, FPS ~ 49.8
[Frame 0160] time = 0.020s, FPS ~ 50.2
[Frame 0161] time = 0.020s, FPS ~ 49.9
[Frame 0162] time = 0.030s, FPS ~ 33.3
[Frame 0163] time = 0.030s, FPS ~ 33.0
[Frame 0164] time = 0.020s, FPS ~ 50.0
[Frame 0165] time = 0.020s, FPS ~ 50.0
[Frame 0166] time = 0.030s, FPS ~ 33.0
[Frame 0167] time = 0.020s, FPS ~ 50.0
[Frame 0168] time = 0.020s, FPS ~ 50.2
[Frame 0169] time = 0.020s, FPS ~ 50.0
[Frame 0170] time = 0.020s, FPS ~ 49.8
[Frame 0171] time = 0.020s, FPS ~ 50.0
[Frame 0172] time = 0.020s, FPS ~ 50.0
[Frame 0173] time = 0.020s, FPS ~ 50.0
[Frame 0174] time = 0.020s, FPS ~ 50.2
[Frame 0175] time = 0.020s, FPS ~ 50.0
[Frame 0176] time = 0.020s, FPS ~ 49.0
[Frame 0177] time = 0.030s, FPS ~ 33.2
[Frame 0178] time = 0.020s, FPS ~ 50.0
[Frame 0179] time = 0.020s, FPS ~ 50.2
[Frame 0180] time = 0.020s, FPS ~ 50.0
[Frame 0181] time = 0.020s, FPS ~ 49.8
[Frame 0182] time = 0.030s, FPS ~ 33.4
[Frame 0183] time = 0.020s, FPS ~ 49.8
[Frame 0184] time = 0.020s, FPS ~ 50.2
[Frame 0185] time = 0.020s, FPS ~ 50.0
[Frame 0186] time = 0.020s, FPS ~ 50.0
[Frame 0187] time = 0.020s, FPS ~ 49.9
[Frame 0188] time = 0.030s, FPS ~ 33.4
[Frame 0189] time = 0.030s, FPS ~ 33.2
[Frame 0190] time = 0.020s, FPS ~ 50.0
[Frame 0191] time = 0.030s, FPS ~ 33.4
[Frame 0192] time = 0.030s, FPS ~ 33.3
[Frame 0193] time = 0.020s, FPS ~ 49.8
[Frame 0194] time = 0.020s, FPS ~ 50.0
[Frame 0195] time = 0.030s, FPS ~ 33.4
[Frame 0196] time = 0.020s, FPS ~ 49.8
[Frame 0197] time = 0.020s, FPS ~ 50.2
[Frame 0198] time = 0.020s, FPS ~ 50.0
[Frame 0199] time = 0.020s, FPS ~ 49.8
[Frame 0200] time = 0.020s, FPS ~ 49.1
[Frame 0201] time = 0.020s, FPS ~ 50.1
[Frame 0202] time = 0.020s, FPS ~ 50.0
[Frame 0203] time = 0.020s, FPS ~ 49.8
[Frame 0204] time = 0.020s, FPS ~ 50.2
[Frame 0205] time = 0.020s, FPS ~ 50.0
[Frame 0206] time = 0.020s, FPS ~ 49.8
[Frame 0207] time = 0.020s, FPS ~ 50.2
[Frame 0208] time = 0.020s, FPS ~ 50.0
[Frame 0209] time = 0.020s, FPS ~ 50.0
[Frame 0210] time = 0.020s, FPS ~ 50.0
[Frame 0211] time = 0.020s, FPS ~ 50.0
[Frame 0212] time = 0.020s, FPS ~ 50.0
[Frame 0213] time = 0.030s, FPS ~ 33.3
[Frame 0214] time = 0.020s, FPS ~ 50.0
[Frame 0215] time = 0.020s, FPS ~ 49.8
[Frame 0216] time = 0.030s, FPS ~ 33.4
[Frame 0217] time = 0.020s, FPS ~ 50.0
[Frame 0218] time = 0.030s, FPS ~ 33.3
[Frame 0219] time = 0.020s, FPS ~ 49.5
[Frame 0220] time = 0.020s, FPS ~ 50.0
[Frame 0221] time = 0.020s, FPS ~ 50.0
[Frame 0222] time = 0.020s, FPS ~ 50.0
[Frame 0223] time = 0.030s, FPS ~ 33.3
[Frame 0224] time = 0.030s, FPS ~ 33.3
[Frame 0225] time = 0.020s, FPS ~ 50.0
[Frame 0226] time = 0.020s, FPS ~ 50.0
[Frame 0227] time = 0.020s, FPS ~ 49.8
[Frame 0228] time = 0.020s, FPS ~ 49.0
[Frame 0229] time = 0.020s, FPS ~ 49.9
[Frame 0230] time = 0.020s, FPS ~ 50.0
[Frame 0231] time = 0.030s, FPS ~ 33.4
[Frame 0232] time = 0.020s, FPS ~ 50.0
[Frame 0233] time = 0.020s, FPS ~ 50.0
[Frame 0234] time = 0.020s, FPS ~ 49.8
[Frame 0235] time = 0.030s, FPS ~ 33.4
[Frame 0236] time = 0.020s, FPS ~ 50.0
[Frame 0237] time = 0.020s, FPS ~ 48.9
[Frame 0238] time = 0.020s, FPS ~ 50.0
[Frame 0239] time = 0.030s, FPS ~ 33.3
